,day,month, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI
162,11,7,56,15,2.9,74.8,7.1,9.5,1.6,6.8,0.8
60,31,7,64,17,0.0,87.2,31.9,145.7,6.8,41.2,15.7
61,1,8,45,14,0.0,78.8,4.8,10.2,2.0,4.7,0.9
63,3,8,63,14,0.3,76.6,5.7,10.0,1.7,5.5,0.8
69,9,8,59,17,0.0,87.4,14.8,57.0,6.9,17.9,9.9
83,23,8,53,16,0.0,89.5,37.6,161.5,10.4,47.5,22.3
55,26,7,53,19,0.0,89.2,17.1,98.6,10.0,23.9,15.3
211,29,8,53,17,0.5,80.2,20.7,149.2,2.7,30.6,5.9
46,17,7,70,14,0.0,82.8,9.4,34.1,3.2,11.1,3.6
35,6,7,63,14,0.0,87.0,10.9,37.0,5.6,12.5,6.8
181,30,7,56,16,0.0,88.9,23.8,57.1,8.2,23.8,13.2
102,11,9,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3
195,13,8,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5
219,6,9,71,14,6.5,64.5,3.3,9.1,1.0,3.5,0.4
159,8,7,47,18,6.0,80.8,9.8,9.7,3.1,9.4,3.0
146,25,6,70,16,0.0,86.0,12.8,25.6,5.4,12.7,6.7
127,6,6,54,11,0.1,83.7,8.4,26.3,3.1,9.3,3.1
121,30,9,78,14,1.4,45.0,1.9,7.5,0.2,2.4,0.1
186,4,8,35,15,0.0,93.8,23.0,42.7,15.7,22.9,20.9
171,20,7,50,16,0.0,89.9,32.7,71.0,9.5,32.6,17.3
10,11,6,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6
213,31,8,59,19,0.0,89.1,27.8,168.2,9.8,39.3,19.4
26,27,6,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0
147,26,6,62,16,0.0,87.8,16.5,34.5,7.0,16.4,9.5
185,3,8,33,17,0.0,93.7,17.1,32.1,17.2,16.9,19.5
136,15,6,90,15,0.0,66.8,7.2,14.7,1.2,7.1,0.6
76,16,8,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2
119,28,9,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9
120,29,9,80,16,1.8,47.4,2.9,7.7,0.3,3.0,0.1
59,30,7,79,15,0.0,85.4,28.5,136.0,4.7,37.4,10.7
116,25,9,81,21,5.8,48.6,3.0,7.7,0.4,3.0,0.1
214,1,9,86,16,0.0,37.9,0.9,8.2,0.1,1.4,0.0
6,7,6,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2
161,10,7,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3
24,25,6,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4
215,2,9,67,19,0.0,75.4,2.9,16.3,2.0,4.0,0.8
19,20,6,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4
220,7,9,62,15,0.0,83.3,5.8,17.7,3.8,6.4,3.2
106,15,9,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0.0
56,27,7,48,13,0.0,90.3,22.2,108.5,8.7,29.4,15.3
80,20,8,68,19,0.0,88.3,25.9,130.6,8.8,34.7,16.8
182,31,7,55,15,0.0,89.3,28.3,67.2,8.3,28.3,14.5
132,11,6,42,21,0.0,90.6,18.2,30.5,13.4,18.0,16.7
216,3,9,75,16,0.0,82.2,4.4,24.3,3.3,6.0,2.5
198,16,8,41,10,0.1,92.0,22.6,65.1,9.5,24.2,14.8
70,10,8,55,14,0.0,88.9,18.6,67.0,7.4,21.9,11.6
91,31,8,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3
163,12,7,44,13,0.0,90.1,12.6,19.4,8.3,12.5,9.6
148,27,6,55,15,0.0,89.1,20.9,43.3,8.0,20.8,12.0
103,12,9,88,13,0.0,71.0,2.6,16.6,1.2,3.7,0.5
20,21,6,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2
47,18,7,68,14,0.0,85.4,12.1,43.1,4.6,14.2,6.0
205,23,8,43,16,0.0,91.2,46.1,137.7,11.5,50.2,24.5
5,6,6,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5
111,20,9,84,18,0.0,83.8,13.5,49.3,4.5,16.0,6.3
98,7,9,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6
201,19,8,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7
149,28,6,37,13,0.0,92.5,27.2,52.4,11.7,27.1,18.4
175,24,7,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5
226,13,9,49,19,0.0,88.6,11.5,33.4,9.1,12.4,10.3
49,20,7,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4.0
58,29,7,73,15,0.0,86.6,26.7,127.0,5.6,35.0,11.9
1,2,6,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4
2,3,6,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1
68,8,8,60,18,0.3,77.1,11.3,47.0,2.2,14.1,2.6
184,2,8,34,14,0.0,93.3,10.8,21.4,13.8,10.6,13.5
178,27,7,87,18,0.0,80.0,11.8,28.3,2.8,11.8,3.2
52,23,7,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1
204,22,8,53,14,0.0,89.5,41.1,127.5,8.0,45.5,18.1
142,21,6,55,14,0.0,86.2,8.3,18.4,5.0,8.2,4.9
32,3,7,76,20,0.7,63.1,2.6,9.2,1.3,3.0,0.5
242,29,9,54,18,0.1,79.7,4.3,15.2,1.7,5.1,0.7
7,8,6,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1
243,30,9,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5
39,10,7,69,13,0.7,66.6,6.0,9.3,1.1,5.8,0.5
87,27,8,82,21,0.0,84.9,47.0,200.2,4.4,59.3,13.2
169,18,7,68,15,0.0,86.1,23.9,51.6,5.2,23.9,9.1
232,19,9,41,8,0.1,83.9,24.9,86.0,2.7,28.9,5.6
144,23,6,59,16,0.8,74.2,7.0,8.3,1.6,6.7,0.8
208,26,8,37,16,0.0,92.2,61.3,167.2,13.1,64.0,30.3
105,14,9,76,26,8.3,47.4,1.1,7.0,0.4,1.6,0.1
